Brand,Model,Number of valves,Valve configuration,Valve type,Wrap,Bell size (inches),Bell material,Dual bore,Finish,Outer slide material
Greenhoe,GB5-3G (Nickel Silver Outer Slide),Double,Independent,Rotary,Open,9.5,Gold brass,Not dual bore,Clear lacquer,Nickel silver
Greenhoe,GB5-3Y,Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
Greenhoe,GB5-3Y (Gold Brass Outer Slide),Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Gold brass
Greenhoe,GB5-3Y (Nickel Silver Outer Slide),Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Nickel silver
Greenhoe,GC5-2R,Double,Dependent,Rotary,Open,9.5,Red brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-2R-TIS,Double,Dependent,Rotary,Open,9.5,Red brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-2Y,Double,Dependent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-2Y-TIS,Double,Dependent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-3R,Double,Independent,Rotary,Open,9.5,Red brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-3R-TIS,Double,Independent,Rotary,Open,9.5,Red brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-3Y,Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Rose brass
Greenhoe,GC5-3Y-TIS,Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Rose brass
Holton,TR181,Double,Independent,Rotary,Closed,10,Rose brass,Not dual bore,Clear lacquer,Nickel silver
Holton,TR181S,Double,Independent,Rotary,Closed,10,Rose brass,Not dual bore,Silver plate,Nickel silver
Holton,TR183,Single,Not applicable,Rotary,Closed,9,Rose brass,Not dual bore,Clear lacquer,Nickel silver
Holton,TR183S,Single,Not applicable,Rotary,Closed,9,Rose brass,Not dual bore,Silver plate,Nickel silver
Shires,TBQ36GA,Double,Independent,Axial flow,Open,9.5,Gold brass,Not dual bore,Clear lacquer,Yellow brass
Shires,TBQ36GR,Double,Independent,Rotary,Open,9.5,Gold brass,Not dual bore,Clear lacquer,Yellow brass
Shires,TBQ36YA,Double,Independent,Axial flow,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
Shires,TBQ36YR,Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
XO,XO1240L,Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
XO,XO1240LT,Double,Independent,Axial flow,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
XO,XO1240RL,Double,Independent,Rotary,Open,9.5,Rose brass,Not dual bore,Clear lacquer,Yellow brass
XO,XO1240RLT,Double,Independent,Axial flow,Open,9.5,Rose brass,Not dual bore,Clear lacquer,Yellow brass
XO,XO1242L,Double,Dependent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
XO,XO1242RL,Double,Dependent,Rotary,Open,9.5,Rose brass,Not dual bore,Clear lacquer,Yellow brass
Yamaha,YBL-421G,Single,Not applicable,Rotary,Closed,9.5,Gold brass,Not dual bore,Clear lacquer,Yellow brass
Yamaha,YBL-620G,Double,Dependent,Rotary,Closed,9.5,Gold brass,Not dual bore,Clear lacquer,Nickel silver
Yamaha,YBL-822G,Double,Dependent,Rotary,Closed,9.5,Gold brass,Not dual bore,Clear lacquer,Yellow brass
Yamaha,YBL-830,Double,Independent,Rotary,Open,9.5,Yellow brass,Not dual bore,Clear lacquer,Yellow brass
Yamaha,YBL-830 (Gold Brass Bell),Double,Independent,Rotary,Open,9.5,Gold brass,Not dual bore,Clear lacquer,Yellow brass
